from,to,class,quality,weighed_tree_quality,bad_troughs,is_melt_event,notes
2021-12-14 17:15:00,2021-12-18 12:00:00,,1,1,,,no time lapse imagery here
2021-12-19 16:30:00,2021-12-21 11:00:00,,3,1,,,outlier very old snow from around 10 days ago still in tree.. small increment of snow interrupted the previous event... not affected by 5ms wind speed
2021-12-27 08:30:00,2021-12-28 07:00:00,,1,1,,,likely includes some wind redistribution
2021-12-29 12:45:00,2021-12-29 22:30:00,,1,1,,,
2021-12-30 00:45:00,2022-01-01 14:45:00,,1,1,,,long cold event with minimal unloading
2022-01-04 09:15:00,2022-01-06 08:30:00,,1,3,,,tree is mostly loading here
2022-01-06 17:30:00,2022-01-06 23:30:00,,3,1,,,troughs dont align with weighed tree loss
2022-01-09 04:00:00,2022-01-11 08:30:00,,1,3,,,"Following significant snowfall mixing with unloading, just the remaining few clumps left in this event."
2022-01-18 07:45:00,2022-01-21 23:00:00,,1,1,mixed,,tree lost a lot more than troughts likely okay due to high sublimation and wind redistribution
2022-02-01 10:15:00,2022-02-04 12:00:00,,3,3,,,do not include snowing while unloading
2022-02-03 04:30:00,2022-02-04 02:45:00,,1,1,,,shorter period inbetween snowfall
2022-02-04 05:00:00,2022-02-04 15:00:00,,1,1,,,shorter period inbetween snowfall
2022-02-21 02:00:00,2022-02-23 19:30:00,,1,1,closed,,
2022-02-24 12:00:00,2022-02-27 05:45:00,,1,1,mixed,,
2022-03-02 00:45:00,2022-03-02 19:15:00,,1,1,,,short period here and lots of wind going on
2022-03-04 22:15:00,2022-03-05 19:15:00,,1,1,closed,,massive sublimation near the end of this event not captured by crhm modelled sublimation
2022-03-06 03:45:00,2022-03-07 12:45:00,,1,3,,,weighed tree spiked during this event due to tower lowering so no weighed tree data for sublimation calculation
2022-03-07 23:30:00,2022-03-08 15:15:00,,3,3,,,incremental precip during 
2022-03-09 02:45:00,2022-03-10 23:00:00,,1,1,,,ended before precip starts as high winds cause noise in lysimeters
2022-03-16 11:00:00,2022-03-19 20:00:00,,1,1,,1,mostly sublimation but confirmed drip insitu on notesa and big mass clump unloading here associated with warming and sublimation
2022-03-20 01:45:00,2022-03-21 03:00:00,,1,1,,,
2022-03-24 09:45:00,2022-03-26 16:00:00,,1,1,mixed,,"very impressive sublimation event here, no unloading observed in troughs or in timelapse imagery, very clear sublimation of canopy snow"
2022-03-29 08:45:00,2022-03-29 19:00:00,,1,1,,,another possible sublimation event
2022-04-05 19:30:00,2022-04-06 17:30:00,,1,3,,,too small less than 1 mm 
2022-04-21 04:30:00,2022-04-22 00:15:00,,1,1,closed,,significant ablation observed by the tree but not in the troughs so must be maily sublimation here
2022-04-23 08:00:00,2022-04-23 20:00:00,,1,1,closed,,"smaller event, some rime ice right before this event starts"
2022-05-09 09:00:00,2022-05-10 18:00:00,,3,1,,1,incremental precip during event so cannot filter out snowfall evidence of drip here in situ
2022-05-20 21:15:00,2022-05-22 14:00:00,,3,1,,1,most of the snow unloads while it is snowing prior to the start of this event
2022-06-14 22:45:00,2022-06-15 22:45:00,,3,1,,1,"all snow out of the tree once the precip starts, will have to think about how to analyze this"
2022-06-23 14:00:00,2022-06-23 17:30:00,,1,1,,1,everything seems okay just getting less unloading to troughs compared to tree it looks like
