"Metric","Snow Load","Shear Stress","Wind Speed","Sublimation","Shear Stress, Air Temperature","Shear Stress, Ice-Bulb dep.","Shear Stress, Sublimation"
"Model","GLS","GLS","NLS","OLS","OLS","GLS","GLS"
"Equation","$q_{unld}^{dry} = L \cdot a$","$q_{unld}^{dry} = L \cdot \tau_{mid}  \cdot a$","$q_{unld}^{dry} = L \cdot u_{mid} \cdot a \cdot e^{b\cdot u_{mid}}$","$q_{unld}^{dry} = L \cdot q_{subl}^{veg}  \cdot a$","$q_{unld}^{dry} = L \cdot \tau_{mid} \cdot T_a \cdot a$","$q_{unld}^{dry} = L \cdot \tau_{mid} \cdot (T_a - T_i) \cdot a$","$q_{unld}^{dry} = L \cdot \tau_{mid} \cdot q_{subl}^{veg} \cdot a$"
"Mean Bias (mm/hr)","0.001","0.008","0.048","0.071","0.085","0.116","0.043"
"Root Mean Square Error (mm/hr)","0.159","0.155","0.11","0.157","0.227","0.331","0.255"
"Coefficient of Determination","0.24","0.58","0.54","0.16","-0.01","-0.16","-0.41"
"Coefficient of Agreement","0.53","0.68","0.67","0.49","0.51","0.5","0.47"
"Coefficient a","2.28e-02","3.71e-01","4.62e-03","1.55e-01","-2.11e-02","4.08e-01","2.72e+00"
"Significance of a","NA for GLS","NA for GLS","p < 0.05","p < 0.05","p < 0.05","NA for GLS","NA for GLS"
"Coefficient b","NA","NA","3.93e-01","NA",NA,"NA","NA"
"Significance of b","NA","NA","p < 0.05","NA",NA,"NA","NA"
"Homoscedasticity","Pass","Pass","Pass","Pass (n.s.)","Pass (n.s.)","Pass","Pass"
"Normality","Fail (p < 0.05)","Pass (n.s.)","Pass (n.s.)","Fail (p < 0.05)","Fail (p < 0.05)","Fail (p < 0.05)","Fail (p < 0.05)"
"Linear/Non-linear Correlation","NA","NA","NA","NA","Moderate","Moderate","Moderate"
