"","Metric","Value"
"1","Fit","GLS"
"2","Equation","$R = a \cdot L + b + L $"
"3","Mean Bias (-)","0.046"
"4","Mean Absolute Error (-)","0.593"
"5","Root Mean Square Error (-)","0.786"
"6","Coefficient of Determination","0.73"
"7","Coefficient of Agreement","0.75"
"8","Coefficient a","1.52e-01"
"9","Significance of a","p < 0.05"
"10","Coefficient b","-4.29e-01"
"11","Significance of b","n.s."
"12","Homoscedasticity","Pass"
"13","Normality","Pass (n.s.)"
"14","Linear/Non-linear Correlation","NA"
