"L","u","q_melt","q_subl","T_a","tau","T_ib_dep","AIC","BIC","RMSE","Mean_Bias","Homoscedasticity","Normality","Independence","Outliers"
"x","x","—","—","x","—","—",-252.6,-233.3,0.196,0.001,TRUE,FALSE,TRUE,TRUE
"x","x","—","—","x","—","x",-251.6,-228.2,0.22,-0.002,TRUE,FALSE,TRUE,TRUE
"x","—","—","—","x","x","x",-246.3,-223.6,0.211,-0.002,TRUE,FALSE,TRUE,TRUE
"x","x","x","—","—","—","x",-202,-179.8,0.254,0.003,TRUE,FALSE,TRUE,TRUE
"x","—","—","—","x","x","—",-191,-173.3,0.193,0.002,TRUE,FALSE,TRUE,FALSE
"x","x","—","—","—","—","x",-184.1,-164.9,0.25,-0.002,TRUE,FALSE,TRUE,TRUE
"x","x","x","x","—","—","—",-181.5,-159.3,0.309,-0.001,TRUE,FALSE,TRUE,TRUE
"x","—","—","—","x","—","x",-177.5,-159.6,0.208,-0.002,TRUE,FALSE,TRUE,TRUE
"x","—","—","x","x","x","—",-162.4,-140.1,0.33,0,FALSE,FALSE,TRUE,FALSE
"x","—","x","—","—","x","x",-158.2,-136.8,0.284,0.006,TRUE,FALSE,TRUE,TRUE
"x","x","—","x","x","—","—",-157.7,-135.2,0.331,-0.001,FALSE,FALSE,TRUE,TRUE
"x","—","x","x","—","x","—",-151.7,-130.7,0.31,0.003,TRUE,FALSE,TRUE,TRUE
"x","—","—","—","—","x","x",-149.4,-131.3,0.27,-0.002,TRUE,FALSE,TRUE,TRUE
"x","x","—","x","—","—","—",-145.5,-126.4,0.328,-0.003,TRUE,FALSE,TRUE,TRUE
"x","—","—","x","x","—","—",-132.2,-113,0.332,0,FALSE,FALSE,TRUE,TRUE
"x","x","x","—","—","—","—",-114.9,-100,0.186,0.005,TRUE,TRUE,TRUE,TRUE
"x","—","—","x","—","x","—",-109.7,-91.9,0.335,-0.002,FALSE,FALSE,TRUE,FALSE
"x","x","—","—","—","—","—",-101.1,-89.8,0.158,-0.005,TRUE,TRUE,TRUE,TRUE
"x","—","—","—","x","—","—",-83.2,-73.5,0.133,-0.005,TRUE,TRUE,TRUE,TRUE
"x","—","—","—","—","—","x",-81.9,-71.4,0.166,-0.002,TRUE,TRUE,TRUE,TRUE
"x","—","x","—","—","—","x",-76.8,-63.1,0.211,0.001,TRUE,TRUE,TRUE,TRUE
"x","—","—","—","—","x","—",-72.3,-62.5,0.173,-0.002,TRUE,TRUE,TRUE,TRUE
"x","—","x","x","—","—","—",-69.9,-55.5,0.25,0,TRUE,TRUE,TRUE,TRUE
"x","—","x","—","—","x","—",-69.1,-55.5,0.197,0.006,TRUE,TRUE,TRUE,TRUE
"x","—","—","x","—","—","—",-33.6,-22.3,0.314,-0.003,TRUE,TRUE,TRUE,TRUE
"x","—","x","—","—","—","—",-21.1,-14.2,0.158,-0.008,TRUE,TRUE,TRUE,TRUE
