"","event_id","runtag","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"PWL_met",0.495,0.5,0.549,0.106,0.99,0.981
"2",2022-03-09,"PWL_met",-1.202,1.465,2.007,0.798,0.914,0.835
"3",2022-03-20,"PWL_met",-0.04,0.141,0.162,0.095,0.996,0.992
"4",2022-03-24,"PWL_met",0.378,0.618,0.767,0.276,0.982,0.963
"5",2022-03-29,"PWL_met",-0.609,0.622,0.81,0.487,0.931,0.866
"6",2022-04-21,"PWL_met",-0.45,0.532,0.676,0.24,0.974,0.948
"7",2022-04-23,"PWL_met",-0.987,1.003,1.457,0.485,0.95,0.902
"8",2022-06-14,"PWL_met",0.653,1.668,1.984,0.284,0.989,0.978
"9",2022-06-24,"PWL_met",0.166,0.343,0.448,0.116,0.994,0.988
"10",2022-12-01,"PWL_met",2.191,2.202,2.853,0.258,0.983,0.966
"11",2023-01-28,"PWL_met",3.374,3.374,3.702,0.587,0.901,0.811
"12",2023-02-24,"PWL_met",-2.951,4.056,5.626,0.471,0.944,0.89
"13",2023-02-26,"PWL_met",0.546,0.546,0.689,0.118,0.912,0.831
"14",2023-03-14,"PWL_met",2.916,2.917,3.391,0.522,0.948,0.899
"15",2023-03-25,"PWL_met",-1.333,1.34,1.759,0.11,0.977,0.955
"16",2023-03-26,"PWL_met",-2.751,2.751,3.555,0.297,0.946,0.894
"17",2023-03-28,"PWL_met",-1.593,1.597,1.993,0.145,0.995,0.99
"18",2023-05-08,"PWL_met",-0.213,0.477,0.551,0.163,0.984,0.968
"19",2023-06-15,"PWL_met",-0.657,0.997,1.276,0.223,0.968,0.937
"20",2023-06-21,"PWL_met",-0.596,0.86,1.159,0.23,0.974,0.949
