"","event_id","runtag","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"PWL_met2",0.278,0.278,0.299,0.057,0.995,0.989
"2",2022-03-09,"PWL_met2",-2.21,2.451,3.034,1.207,0.859,0.739
"3",2022-03-20,"PWL_met2",-0.468,0.469,0.543,0.318,0.992,0.984
"4",2022-03-24,"PWL_met2",-0.477,0.777,0.996,0.358,0.975,0.951
"5",2022-03-29,"PWL_met2",-0.668,0.668,0.84,0.505,0.938,0.88
"6",2022-04-21,"PWL_met2",-0.463,0.562,0.724,0.257,0.969,0.939
"7",2022-04-23,"PWL_met2",-0.96,1.037,1.522,0.507,0.949,0.901
"8",2022-06-14,"PWL_met2",1.491,1.531,1.84,0.263,0.993,0.987
"9",2022-06-24,"PWL_met2",NA,NA,NA,NA,NA,NA
"10",2022-12-01,"PWL_met2",NA,NA,NA,NA,NA,NA
"11",2023-01-28,"PWL_met2",NA,NA,NA,NA,NA,NA
"12",2023-02-24,"PWL_met2",NA,NA,NA,NA,NA,NA
"13",2023-02-26,"PWL_met2",NA,NA,NA,NA,NA,NA
"14",2023-03-14,"PWL_met2",NA,NA,NA,NA,NA,NA
"15",2023-03-25,"PWL_met2",NA,NA,NA,NA,NA,NA
"16",2023-03-26,"PWL_met2",NA,NA,NA,NA,NA,NA
"17",2023-03-28,"PWL_met2",NA,NA,NA,NA,NA,NA
"18",2023-05-08,"PWL_met2",NA,NA,NA,NA,NA,NA
"19",2023-06-15,"PWL_met2",NA,NA,NA,NA,NA,NA
"20",2023-06-21,"PWL_met2",NA,NA,NA,NA,NA,NA
