"","event_id","runtag","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"added_many_events_w_cald_melt_drip_ratio",0.664,0.667,0.739,0.142,0.988,0.976
"2",2022-03-09,"added_many_events_w_cald_melt_drip_ratio",-0.85,1.181,1.668,0.663,0.933,0.87
"3",2022-03-20,"added_many_events_w_cald_melt_drip_ratio",0.146,0.158,0.239,0.14,0.992,0.985
"4",2022-03-24,"added_many_events_w_cald_melt_drip_ratio",0.578,0.708,0.926,0.333,0.974,0.948
"5",2022-03-29,"added_many_events_w_cald_melt_drip_ratio",-0.547,0.564,0.741,0.445,0.938,0.881
"6",2022-04-21,"added_many_events_w_cald_melt_drip_ratio",-0.289,0.435,0.534,0.19,0.981,0.961
"7",2022-04-23,"added_many_events_w_cald_melt_drip_ratio",-0.862,0.9,1.331,0.443,0.956,0.914
"8",2022-06-14,"added_many_events_w_cald_melt_drip_ratio",0.647,1.672,1.988,0.284,0.989,0.978
"9",2022-06-24,"added_many_events_w_cald_melt_drip_ratio",0.157,0.348,0.451,0.117,0.994,0.988
"10",2022-12-01,"added_many_events_w_cald_melt_drip_ratio",3.763,3.763,4.461,0.403,0.969,0.939
"11",2023-01-28,"added_many_events_w_cald_melt_drip_ratio",3.956,3.956,4.359,0.691,0.851,0.724
"12",2023-02-24,"added_many_events_w_cald_melt_drip_ratio",-1.994,3.524,4.809,0.402,0.945,0.893
"13",2023-02-26,"added_many_events_w_cald_melt_drip_ratio",0.851,0.851,1.029,0.176,0.908,0.824
"14",2023-03-14,"added_many_events_w_cald_melt_drip_ratio",3.498,3.499,4.143,0.638,0.914,0.835
"15",2023-03-25,"added_many_events_w_cald_melt_drip_ratio",-0.936,1.02,1.343,0.084,0.98,0.961
"16",2023-03-26,"added_many_events_w_cald_melt_drip_ratio",-2.236,2.247,3.002,0.251,0.953,0.908
"17",2023-03-28,"added_many_events_w_cald_melt_drip_ratio",-1.136,1.169,1.517,0.11,0.995,0.99
"18",2023-05-08,"added_many_events_w_cald_melt_drip_ratio",-0.221,0.48,0.555,0.164,0.984,0.967
"19",2023-06-15,"added_many_events_w_cald_melt_drip_ratio",-0.606,0.97,1.237,0.216,0.969,0.939
"20",2023-06-21,"added_many_events_w_cald_melt_drip_ratio",-0.536,0.859,1.127,0.223,0.975,0.95
