"","event_id","name","runtag","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"simulated_baseline","for_ablation_paper",2.285,2.285,2.387,0.459,0.955,0.913
"2",2022-03-02,"simulated_updated","for_ablation_paper",0.157,0.167,0.192,0.037,0.995,0.99
"3",2022-03-09,"simulated_baseline","for_ablation_paper",-2.867,2.988,3.694,1.469,0.806,0.649
"4",2022-03-09,"simulated_updated","for_ablation_paper",-1.731,1.825,2.483,0.988,0.888,0.789
"5",2022-03-20,"simulated_baseline","for_ablation_paper",-0.347,0.347,0.409,0.239,0.994,0.987
"6",2022-03-20,"simulated_updated","for_ablation_paper",-0.18,0.185,0.234,0.137,0.996,0.992
"7",2022-03-24,"simulated_baseline","for_ablation_paper",0.511,0.648,0.789,0.284,0.982,0.964
"8",2022-03-24,"simulated_updated","for_ablation_paper",0.135,0.566,0.7,0.252,0.986,0.971
"9",2022-03-29,"simulated_baseline","for_ablation_paper",-0.144,0.159,0.181,0.109,0.997,0.994
"10",2022-03-29,"simulated_updated","for_ablation_paper",-0.735,0.736,0.938,0.564,0.915,0.838
"11",2022-04-21,"simulated_baseline","for_ablation_paper",-0.119,0.2,0.253,0.09,0.996,0.991
"12",2022-04-21,"simulated_updated","for_ablation_paper",-0.648,0.697,0.878,0.312,0.967,0.934
"13",2022-04-23,"simulated_baseline","for_ablation_paper",-0.078,0.452,0.583,0.194,0.988,0.975
"14",2022-04-23,"simulated_updated","for_ablation_paper",-1.39,1.39,1.879,0.626,0.927,0.859
"15",2022-06-14,"simulated_baseline","for_ablation_paper",-0.311,1.465,2.172,0.311,0.976,0.952
"16",2022-06-14,"simulated_updated","for_ablation_paper",-0.556,2.508,3.333,0.477,0.973,0.946
"17",2022-06-24,"simulated_baseline","for_ablation_paper",-1.761,1.96,2.266,0.59,0.976,0.954
"18",2022-06-24,"simulated_updated","for_ablation_paper",-0.339,0.52,0.652,0.17,0.988,0.976
"19",2022-12-01,"simulated_baseline","for_ablation_paper",-7.062,7.074,8.463,0.764,0.872,0.76
"20",2022-12-01,"simulated_updated","for_ablation_paper",0.107,1.375,1.635,0.148,0.984,0.968
"21",2023-01-28,"simulated_baseline","for_ablation_paper",-0.167,0.737,0.831,0.132,0.988,0.976
"22",2023-01-28,"simulated_updated","for_ablation_paper",2.384,2.384,2.7,0.428,0.945,0.893
"23",2023-02-24,"simulated_baseline","for_ablation_paper",-7.147,7.214,10.104,0.845,0.725,0.526
"24",2023-02-24,"simulated_updated","for_ablation_paper",-3.827,4.666,6.419,0.537,0.941,0.885
"25",2023-02-26,"simulated_baseline","for_ablation_paper",-0.077,0.111,0.14,0.024,0.935,0.874
"26",2023-02-26,"simulated_updated","for_ablation_paper",0.374,0.384,0.501,0.086,0.914,0.836
"27",2023-03-14,"simulated_baseline","for_ablation_paper",1.198,1.314,1.603,0.247,0.986,0.972
"28",2023-03-14,"simulated_updated","for_ablation_paper",2.12,2.122,2.43,0.374,0.976,0.952
"29",2023-03-25,"simulated_baseline","for_ablation_paper",0.682,1.153,1.539,0.096,0.985,0.97
"30",2023-03-25,"simulated_updated","for_ablation_paper",-2.058,2.058,2.544,0.159,0.955,0.912
"31",2023-03-26,"simulated_baseline","for_ablation_paper",-0.729,1.7,1.976,0.165,0.897,0.805
"32",2023-03-26,"simulated_updated","for_ablation_paper",-3.735,3.735,4.599,0.384,0.941,0.886
"33",2023-03-28,"simulated_baseline","for_ablation_paper",-0.222,1.014,1.174,0.085,0.977,0.955
"34",2023-03-28,"simulated_updated","for_ablation_paper",-2.521,2.521,3.012,0.219,0.99,0.98
"35",2023-05-08,"simulated_baseline","for_ablation_paper",-1.867,1.94,2.151,0.636,0.956,0.913
"36",2023-05-08,"simulated_updated","for_ablation_paper",-0.909,0.986,1.156,0.342,0.969,0.938
"37",2023-06-15,"simulated_baseline","for_ablation_paper",-1.281,1.847,2.316,0.405,0.968,0.937
"38",2023-06-15,"simulated_updated","for_ablation_paper",-1.241,1.352,1.8,0.315,0.953,0.908
"39",2023-06-21,"simulated_baseline","for_ablation_paper",0.469,1.503,1.678,0.333,0.87,0.757
"40",2023-06-21,"simulated_updated","for_ablation_paper",-0.931,1.061,1.524,0.302,0.959,0.919
