"","event_id","runtag","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"t_canopy_event_analsis_final",0.157,0.167,0.192,0.037,0.995,0.99
"2",2022-03-09,"t_canopy_event_analsis_final",-1.731,1.825,2.483,0.988,0.888,0.789
"3",2022-03-20,"t_canopy_event_analsis_final",-0.18,0.185,0.234,0.137,0.996,0.992
"4",2022-03-24,"t_canopy_event_analsis_final",0.135,0.566,0.7,0.252,0.986,0.971
"5",2022-03-29,"t_canopy_event_analsis_final",-0.735,0.736,0.938,0.564,0.915,0.838
"6",2022-04-21,"t_canopy_event_analsis_final",-0.648,0.697,0.878,0.312,0.967,0.934
"7",2022-04-23,"t_canopy_event_analsis_final",-1.39,1.39,1.879,0.626,0.927,0.859
"8",2022-06-14,"t_canopy_event_analsis_final",-0.556,2.508,3.333,0.477,0.973,0.946
"9",2022-06-24,"t_canopy_event_analsis_final",-0.339,0.52,0.652,0.17,0.988,0.976
"10",2022-12-01,"t_canopy_event_analsis_final",0.107,1.375,1.635,0.148,0.984,0.968
"11",2023-01-28,"t_canopy_event_analsis_final",2.384,2.384,2.7,0.428,0.945,0.893
"12",2023-02-24,"t_canopy_event_analsis_final",-3.827,4.666,6.419,0.537,0.941,0.885
"13",2023-02-26,"t_canopy_event_analsis_final",0.374,0.384,0.501,0.086,0.914,0.836
"14",2023-03-14,"t_canopy_event_analsis_final",2.12,2.122,2.43,0.374,0.976,0.952
"15",2023-03-25,"t_canopy_event_analsis_final",-2.058,2.058,2.544,0.159,0.955,0.912
"16",2023-03-26,"t_canopy_event_analsis_final",-3.735,3.735,4.599,0.384,0.941,0.886
"17",2023-03-28,"t_canopy_event_analsis_final",-2.521,2.521,3.012,0.219,0.99,0.98
"18",2023-05-08,"t_canopy_event_analsis_final",-0.909,0.986,1.156,0.342,0.969,0.938
"19",2023-06-15,"t_canopy_event_analsis_final",-1.241,1.352,1.8,0.315,0.953,0.908
"20",2023-06-21,"t_canopy_event_analsis_final",-0.931,1.061,1.524,0.302,0.959,0.919
