"","event_id","runtag","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"updt_melt_unld_ratio",0.175,0.185,0.214,0.041,0.995,0.99
"2",2022-03-09,"updt_melt_unld_ratio",-1.717,1.811,2.47,0.982,0.889,0.79
"3",2022-03-20,"updt_melt_unld_ratio",-0.169,0.176,0.224,0.131,0.996,0.993
"4",2022-03-24,"updt_melt_unld_ratio",0.154,0.571,0.706,0.254,0.985,0.971
"5",2022-03-29,"updt_melt_unld_ratio",-0.697,0.703,0.905,0.544,0.919,0.845
"6",2022-04-21,"updt_melt_unld_ratio",-0.528,0.577,0.734,0.261,0.973,0.946
"7",2022-04-23,"updt_melt_unld_ratio",-1.122,1.129,1.606,0.535,0.943,0.89
"8",2022-06-14,"updt_melt_unld_ratio",0.358,1.814,2.2,0.315,0.985,0.971
"9",2022-06-24,"updt_melt_unld_ratio",-0.062,0.399,0.496,0.129,0.992,0.983
"10",2022-12-01,"updt_melt_unld_ratio",0.121,1.373,1.631,0.147,0.984,0.968
"11",2023-01-28,"updt_melt_unld_ratio",2.391,2.391,2.708,0.43,0.945,0.892
"12",2023-02-24,"updt_melt_unld_ratio",-3.822,4.661,6.412,0.536,0.941,0.885
"13",2023-02-26,"updt_melt_unld_ratio",0.38,0.389,0.507,0.087,0.914,0.836
"14",2023-03-14,"updt_melt_unld_ratio",2.146,2.148,2.46,0.379,0.975,0.951
"15",2023-03-25,"updt_melt_unld_ratio",-2.044,2.044,2.527,0.158,0.956,0.913
"16",2023-03-26,"updt_melt_unld_ratio",-3.709,3.709,4.572,0.382,0.941,0.885
"17",2023-03-28,"updt_melt_unld_ratio",-2.503,2.503,2.989,0.217,0.99,0.98
"18",2023-05-08,"updt_melt_unld_ratio",-0.557,0.688,0.828,0.245,0.977,0.954
"19",2023-06-15,"updt_melt_unld_ratio",-0.917,1.145,1.504,0.263,0.963,0.927
"20",2023-06-21,"updt_melt_unld_ratio",-0.767,0.944,1.333,0.264,0.969,0.939
