"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","crhm_updated","melt",-0.059,0.577,0.838,0.729,0.844,0.712
"2","roesch2001","melt",0.117,0.663,1,0.87,0.71,0.504
"3","crhm_baseline","melt",0.212,0.67,1.102,0.959,0.627,0.393
"4","andreadis2009","melt",0.252,1.01,1.405,1.222,0.234,0.055
"5","roesch2001","mixed",0.049,0.263,0.454,1.071,0.622,0.387
"6","crhm_updated","mixed",0.081,0.27,0.466,1.101,0.575,0.33
"7","crhm_baseline","mixed",0.113,0.252,0.53,1.251,0.355,0.126
"8","andreadis2009","mixed",0.189,0.292,0.549,1.296,0.346,0.119
"9","crhm_updated","sublimation",-0.015,0.132,0.231,1.04,0.703,0.494
"10","andreadis2009","sublimation",0.013,0.133,0.245,1.105,0.581,0.338
"11","roesch2001","sublimation",-0.017,0.166,0.268,1.209,0.603,0.364
"12","crhm_baseline","sublimation",-0.038,0.168,0.339,1.528,0.579,0.335
"13","roesch2001","wind",0.173,0.569,1.12,1.957,0.31,0.096
"14","crhm_updated","wind",0.136,0.578,1.131,1.977,0.269,0.073
"15","crhm_baseline","wind",0.343,0.586,1.28,2.238,-0.258,0.066
"16","andreadis2009","wind",0.368,0.595,1.297,2.267,-0.257,0.066
