"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","andreadis2009","melt",-0.064,0.666,0.906,0.761,0.723,0.571
"2","simulated_new","melt",-0.034,0.666,0.837,0.655,0.788,0.628
"3","roesch2001","melt",0.282,0.748,1.036,0.774,0.7,0.511
"4","ellis2010","melt",0.413,0.787,1.137,0.842,0.578,0.395
"5","roesch2001","mixed",0.152,0.35,0.465,0.712,0.7,0.524
"6","simulated_new","mixed",0.174,0.456,0.629,1.081,0.401,0.21
"7","ellis2010","mixed",0.23,0.315,0.462,0.628,0.851,0.732
"8","andreadis2009","mixed",0.244,0.493,0.693,1.17,0.389,0.219
"9","ellis2010","sublimation",-0.041,0.167,0.258,1.097,0.478,0.35
"10","roesch2001","sublimation",-0.037,0.133,0.18,0.818,0.717,0.536
"11","simulated_new","sublimation",-0.017,0.13,0.186,0.828,0.632,0.417
"12","andreadis2009","sublimation",0.011,0.155,0.216,0.957,0.43,0.277
"13","roesch2001","wind",0.209,0.696,1.062,1.69,0.204,0.403
"14","simulated_new","wind",0.293,0.703,1.064,1.389,0.33,0.369
"15","ellis2010","wind",0.569,0.701,1.183,1.506,0.094,0.409
"16","andreadis2009","wind",0.67,0.708,1.221,1.617,0.059,0.473
