"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_new","melt",-0.036,0.495,0.645,0.516,0.87,0.759
"2","roesch2001","melt",0.282,0.748,1.036,0.774,0.7,0.511
"3","ellis2010","melt",0.413,0.787,1.137,0.842,0.578,0.395
"4","andreadis2009","melt",0.536,1.047,1.394,1.063,0.075,0.071
"5","simulated_new","mixed",0.068,0.288,0.468,1.306,0.543,0.371
"6","roesch2001","mixed",0.079,0.266,0.365,0.867,0.681,0.501
"7","ellis2010","mixed",0.118,0.251,0.384,0.922,0.692,0.527
"8","andreadis2009","mixed",0.181,0.304,0.427,0.908,0.511,0.403
"9","ellis2010","sublimation",-0.179,0.318,0.436,1.141,0.534,0.436
"10","simulated_new","sublimation",-0.177,0.26,0.404,1.038,0.754,0.571
"11","roesch2001","sublimation",-0.092,0.199,0.243,0.702,0.716,0.521
"12","andreadis2009","sublimation",0.029,0.187,0.27,0.792,0.451,0.324
"13","simulated_new","wind",0.125,0.622,0.941,1.409,0.532,0.374
"14","roesch2001","wind",0.209,0.696,1.062,1.69,0.204,0.403
"15","ellis2010","wind",0.569,0.701,1.183,1.506,0.094,0.409
"16","andreadis2009","wind",0.594,0.712,1.198,1.531,0.091,0.408
