"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_new","melt",-0.044,0.532,0.674,0.557,0.844,0.719
"2","roesch2001","melt",0.282,0.748,1.036,0.774,0.7,0.511
"3","ellis2010","melt",0.413,0.787,1.137,0.842,0.578,0.395
"4","andreadis2009","melt",0.536,1.047,1.394,1.063,0.075,0.071
"5","roesch2001","mixed",-0.063,0.201,0.227,0.904,0.772,0.643
"6","simulated_new","mixed",-0.029,0.242,0.322,0.911,0.55,0.427
"7","ellis2010","mixed",0.003,0.097,0.126,0.432,0.916,0.842
"8","andreadis2009","mixed",0.054,0.219,0.264,0.758,0.419,0.393
"9","ellis2010","sublimation",-0.019,0.33,0.482,1.224,0.541,0.39
"10","roesch2001","sublimation",0.003,0.246,0.331,0.869,0.698,0.505
"11","simulated_new","sublimation",0.058,0.218,0.306,0.774,0.699,0.496
"12","andreadis2009","sublimation",0.125,0.241,0.359,0.878,0.577,0.43
"13","simulated_new","wind",0.404,1.009,1.533,1.699,0.041,0.091
"14","roesch2001","wind",0.411,0.946,1.491,1.712,-0.163,0.166
"15","ellis2010","wind",0.85,1.013,1.732,1.915,-0.328,0.174
"16","andreadis2009","wind",0.881,1.029,1.753,1.943,-0.332,0.172
