"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_new","melt",-0.044,0.539,0.684,0.568,0.835,0.708
"2","roesch2001","melt",0.282,0.748,1.036,0.774,0.7,0.511
"3","ellis2010","melt",0.413,0.787,1.137,0.842,0.578,0.395
"4","andreadis2009","melt",0.536,1.047,1.394,1.063,0.075,0.071
"5","roesch2001","mixed",-0.063,0.201,0.227,0.904,0.772,0.643
"6","simulated_new","mixed",-0.018,0.253,0.335,0.951,0.523,0.398
"7","ellis2010","mixed",0.003,0.097,0.126,0.432,0.916,0.842
"8","andreadis2009","mixed",0.054,0.219,0.264,0.758,0.419,0.393
"9","roesch2001","sublimation",0.044,0.218,0.303,0.861,0.718,0.533
"10","ellis2010","sublimation",0.081,0.261,0.397,1.126,0.522,0.383
"11","simulated_new","sublimation",0.086,0.224,0.318,0.875,0.618,0.398
"12","andreadis2009","sublimation",0.124,0.23,0.336,0.874,0.614,0.48
"13","roesch2001","wind",0.411,0.946,1.491,1.712,-0.163,0.166
"14","simulated_new","wind",0.484,1.023,1.577,1.738,-0.016,0.094
"15","ellis2010","wind",0.85,1.013,1.732,1.915,-0.328,0.174
"16","andreadis2009","wind",0.881,1.029,1.753,1.943,-0.332,0.172
