"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_new","melt",-0.053,0.592,0.748,0.652,0.815,0.674
"2","roesch2001","melt",0.244,0.672,0.923,0.731,0.73,0.557
"3","ellis2010","melt",0.356,0.696,1.005,0.78,0.618,0.444
"4","andreadis2009","melt",0.477,0.94,1.248,1.013,0.137,0.098
"5","roesch2001","mixed",0.15,0.341,0.485,1.088,0.544,0.312
"6","simulated_new","mixed",0.186,0.401,0.578,1.244,0.507,0.278
"7","ellis2010","mixed",0.229,0.31,0.475,0.936,0.754,0.593
"8","andreadis2009","mixed",0.244,0.386,0.561,1.15,0.382,0.314
"9","ellis2010","sublimation",-0.166,0.289,0.405,1.191,0.496,0.372
"10","roesch2001","sublimation",-0.087,0.178,0.219,0.682,0.745,0.564
"11","andreadis2009","sublimation",0.033,0.163,0.232,0.71,0.541,0.421
"12","simulated_new","sublimation",0.039,0.158,0.237,0.749,0.604,0.386
"13","roesch2001","wind",0.209,0.696,1.062,1.69,0.204,0.403
"14","simulated_new","wind",0.313,0.711,1.082,1.411,0.313,0.375
"15","ellis2010","wind",0.569,0.701,1.183,1.506,0.094,0.409
"16","andreadis2009","wind",0.594,0.712,1.198,1.531,0.091,0.408
