"","name","event_type","MB","MAE","RMSE","NRMSE","R","R2"
"1","simulated_new","melt",-0.044,0.542,0.686,0.571,0.833,0.706
"2","roesch2001","melt",0.282,0.748,1.036,0.774,0.7,0.511
"3","ellis2010","melt",0.413,0.787,1.137,0.842,0.578,0.395
"4","andreadis2009","melt",0.536,1.047,1.394,1.063,0.075,0.071
"5","simulated_new","mixed",-0.013,0.337,0.461,1.061,0.288,0.122
"6","ellis2010","mixed",0,0.106,0.146,0.305,0.906,0.823
"7","roesch2001","mixed",0.003,0.204,0.238,0.532,0.69,0.526
"8","andreadis2009","mixed",0.072,0.291,0.352,0.783,0.159,0.149
"9","roesch2001","sublimation",0.044,0.218,0.303,0.861,0.718,0.533
"10","ellis2010","sublimation",0.081,0.261,0.397,1.126,0.522,0.383
"11","simulated_new","sublimation",0.084,0.225,0.317,0.88,0.619,0.397
"12","andreadis2009","sublimation",0.124,0.23,0.336,0.874,0.614,0.48
"13","roesch2001","wind",0.209,0.696,1.062,1.69,0.204,0.403
"14","simulated_new","wind",0.298,0.704,1.066,1.394,0.325,0.367
"15","ellis2010","wind",0.569,0.701,1.183,1.506,0.094,0.409
"16","andreadis2009","wind",0.594,0.712,1.198,1.531,0.091,0.408
