"","event_id","name","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"simulated_andreadis2009",-0.289,0.289,0.358,0.069,0.996,0.992
"2",2022-03-02,"simulated_baseline",2.285,2.285,2.387,0.459,0.955,0.913
"3",2022-03-02,"simulated_roesch2001",1.135,1.135,1.258,0.242,0.984,0.968
"4",2022-03-02,"simulated_updated",-0.109,0.143,0.17,0.033,0.996,0.993
"5",2022-03-09,"simulated_andreadis2009",-3.11,3.198,3.928,1.562,0.792,0.627
"6",2022-03-09,"simulated_baseline",-2.867,2.988,3.694,1.469,0.806,0.649
"7",2022-03-09,"simulated_roesch2001",-0.641,1.083,1.506,0.599,0.942,0.888
"8",2022-03-09,"simulated_updated",-1.827,1.922,2.571,1.023,0.885,0.783
"9",2022-03-20,"simulated_andreadis2009",-0.396,0.396,0.456,0.267,0.993,0.985
"10",2022-03-20,"simulated_baseline",-0.347,0.347,0.409,0.239,0.994,0.987
"11",2022-03-20,"simulated_roesch2001",0.145,0.158,0.237,0.139,0.992,0.985
"12",2022-03-20,"simulated_updated",-0.291,0.291,0.345,0.202,0.994,0.989
"13",2022-03-24,"simulated_andreadis2009",-0.152,0.497,0.698,0.251,0.989,0.978
"14",2022-03-24,"simulated_baseline",0.511,0.648,0.789,0.284,0.982,0.964
"15",2022-03-24,"simulated_roesch2001",0.639,0.739,0.974,0.351,0.971,0.944
"16",2022-03-24,"simulated_updated",-0.005,0.54,0.698,0.251,0.987,0.974
"17",2022-03-29,"simulated_andreadis2009",-0.975,0.975,1.124,0.676,0.917,0.841
"18",2022-03-29,"simulated_baseline",-0.144,0.159,0.181,0.109,0.997,0.994
"19",2022-03-29,"simulated_roesch2001",-0.567,0.567,0.689,0.414,0.959,0.921
"20",2022-03-29,"simulated_updated",-0.764,0.764,0.97,0.583,0.91,0.828
"21",2022-04-21,"simulated_andreadis2009",-1.239,1.239,1.521,0.541,0.961,0.924
"22",2022-04-21,"simulated_baseline",-0.119,0.2,0.253,0.09,0.996,0.991
