"event_id","runtag","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation","event_type"
2022-02-04,"test_LW_adjst_timestep",-0.552,0.998,1.33,0.275,0.95,0.902,0,0.69,0.32,"wind"
2022-03-02,"test_LW_adjst_timestep",0.158,0.186,0.224,0.043,0.991,0.981,0.2,0.31,0.5,"mixed"
2022-03-09,"test_LW_adjst_timestep",-2.683,2.74,3.309,1.316,0.883,0.779,0,0.68,0.33,"wind"
2022-03-20,"test_LW_adjst_timestep",-0.704,0.704,0.821,0.48,0.988,0.977,0,0.3,0.72,"sublimation"
2022-03-24,"test_LW_adjst_timestep",-0.337,0.6,0.829,0.299,0.985,0.969,0.21,0.18,0.61,"sublimation"
2022-03-29,"test_LW_adjst_timestep",-0.63,0.653,0.893,0.537,0.922,0.851,0.66,0.05,0.29,"mixed"
2022-04-21,"test_LW_adjst_timestep",-0.312,0.341,0.48,0.171,0.983,0.966,0.66,0.08,0.27,"mixed"
2022-04-23,"test_LW_adjst_timestep",-0.45,0.634,0.916,0.305,0.978,0.957,0.79,0.03,0.18,"mixed"
2022-06-14,"test_LW_adjst_timestep",1.105,1.627,1.956,0.28,0.993,0.985,1.03,0.01,0.01,"melt"
2022-06-23,"test_LW_adjst_timestep",0.115,0.156,0.198,0.157,0.994,0.987,0.91,0.04,0.09,"melt"
2022-06-24,"test_LW_adjst_timestep",0.876,0.876,0.988,0.257,0.991,0.982,1.01,0.01,0.02,"melt"
2022-12-01,"test_LW_adjst_timestep",-1.101,1.722,2.244,0.203,0.977,0.955,0,0.85,0.16,"wind"
2023-01-28,"test_LW_adjst_timestep",1.004,1.017,1.288,0.204,0.974,0.948,0,1.21,-0.2,"wind"
2023-02-24,"test_LW_adjst_timestep",-4.501,5.087,6.919,0.579,0.917,0.84,0,0.94,0.07,"wind"
2023-02-26,"test_LW_adjst_timestep",0.03,0.131,0.166,0.028,0.924,0.854,0,0.69,0.35,"wind"
2023-03-14,"test_LW_adjst_timestep",1.158,1.181,1.42,0.219,0.988,0.977,0.04,0.36,0.6,"sublimation"
2023-03-25,"test_LW_adjst_timestep",-2.02,2.02,2.547,0.16,0.962,0.926,0,0.27,0.74,"sublimation"
2023-03-26,"test_LW_adjst_timestep",-3.776,3.776,4.662,0.39,0.935,0.875,0,0.29,0.72,"sublimation"
2023-03-28,"test_LW_adjst_timestep",-2.413,2.413,2.916,0.212,0.992,0.985,0,0.21,0.8,"sublimation"
2023-04-13,"test_LW_adjst_timestep",-1.524,1.524,1.673,0.124,0.955,0.913,0,0.21,0.79,"sublimation"
2023-04-17,"test_LW_adjst_timestep",-2.214,2.214,2.286,1.3,0.9,0.81,0,0.38,0.63,"sublimation"
2023-05-08,"test_LW_adjst_timestep",0.37,0.434,0.566,0.167,0.989,0.977,0.99,0.02,0.01,"melt"
2023-06-15,"test_LW_adjst_timestep",-0.09,0.483,0.59,0.104,0.991,0.982,0.94,0.04,0.03,"melt"
2023-06-21,"test_LW_adjst_timestep",-0.316,0.507,0.697,0.138,0.986,0.973,0.9,0.07,0.03,"melt"
