"event_id","runtag","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation","event_type"
2022-02-04,"test_LW_adjst_timestep_limit_atmLW2",-1.15,1.176,1.822,0.376,0.964,0.93,0,1.04,-0.02,"wind"
2022-03-02,"test_LW_adjst_timestep_limit_atmLW2",-1.05,1.05,1.177,0.226,0.869,0.755,0.7,0.98,-0.64,"wind"
2022-03-09,"test_LW_adjst_timestep_limit_atmLW2",-3.788,3.789,4.372,1.739,0.86,0.74,0,1.05,-0.05,"wind"
2022-03-20,"test_LW_adjst_timestep_limit_atmLW2",-1.706,1.706,1.868,1.092,0.919,0.845,0,0.75,0.28,"wind"
2022-03-24,"test_LW_adjst_timestep_limit_atmLW2",-1.188,1.28,1.574,0.567,0.966,0.933,0.44,0.25,0.31,"mixed"
2022-03-29,"test_LW_adjst_timestep_limit_atmLW2",-0.916,0.916,1.21,0.727,0.883,0.78,0.92,0.06,0.03,"melt"
2022-04-21,"test_LW_adjst_timestep_limit_atmLW2",-0.641,0.641,0.799,0.284,0.97,0.942,0.85,0.1,0.06,"melt"
2022-04-23,"test_LW_adjst_timestep_limit_atmLW2",-0.681,0.77,1.113,0.371,0.973,0.946,0.94,0.03,0.03,"melt"
2022-06-14,"test_LW_adjst_timestep_limit_atmLW2",0.971,1.674,1.97,0.282,0.992,0.985,1.65,0.01,-0.13,"melt"
2022-06-23,"test_LW_adjst_timestep_limit_atmLW2",-0.017,0.149,0.167,0.133,0.995,0.989,1.04,0.05,-0.04,"melt"
2022-06-24,"test_LW_adjst_timestep_limit_atmLW2",0.704,0.704,0.829,0.216,0.993,0.985,1.12,0.01,-0.09,"melt"
2022-12-01,"test_LW_adjst_timestep_limit_atmLW2",-3.066,3.125,3.892,0.351,0.966,0.934,0,1.14,-0.14,"wind"
2023-01-28,"test_LW_adjst_timestep_limit_atmLW2",-1.254,1.285,1.508,0.239,0.972,0.944,0,2.45,-1.45,"wind"
2023-02-24,"test_LW_adjst_timestep_limit_atmLW2",-4.99,5.445,7.414,0.62,0.9,0.81,0,1.06,-0.04,"wind"
2023-02-26,"test_LW_adjst_timestep_limit_atmLW2",-0.492,0.492,0.523,0.089,0.973,0.946,0,3.56,-2.33,"wind"
2023-03-14,"test_LW_adjst_timestep_limit_atmLW2",-0.597,0.703,0.905,0.139,0.992,0.984,0.09,0.52,0.39,"mixed"
2023-03-25,"test_LW_adjst_timestep_limit_atmLW2",-2.583,2.583,3.178,0.199,0.918,0.843,0,0.41,0.6,"sublimation"
2023-03-26,"test_LW_adjst_timestep_limit_atmLW2",-4.582,4.582,5.576,0.466,0.894,0.799,0,0.47,0.54,"sublimation"
2023-03-28,"test_LW_adjst_timestep_limit_atmLW2",-3.037,3.037,3.625,0.263,0.987,0.973,0,0.29,0.72,"sublimation"
2023-04-13,"test_LW_adjst_timestep_limit_atmLW2",-2.25,2.25,2.433,0.181,0.947,0.897,0,0.3,0.7,"sublimation"
2023-04-17,"test_LW_adjst_timestep_limit_atmLW2",-2.659,2.659,2.74,1.559,0.87,0.756,0,0.5,0.51,"sublimation"
2023-05-08,"test_LW_adjst_timestep_limit_atmLW2",0.083,0.376,0.493,0.146,0.987,0.975,1.14,0.02,-0.13,"melt"
2023-06-15,"test_LW_adjst_timestep_limit_atmLW2",0.401,0.472,0.556,0.098,0.995,0.99,1.08,0.04,-0.07,"melt"
2023-06-21,"test_LW_adjst_timestep_limit_atmLW2",-0.625,0.632,0.928,0.184,0.982,0.964,1.05,0.08,-0.12,"melt"
