"event_id","runtag","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation","event_type"
2022-02-04,"test_LW_in_eq_vf_4pir",-0.53,0.969,1.289,0.266,0.952,0.906,0,0.66,0.34,"wind"
2022-03-02,"test_LW_in_eq_vf_4pir",0.13,0.18,0.253,0.049,0.992,0.984,0.18,0.3,0.53,"sublimation"
2022-03-09,"test_LW_in_eq_vf_4pir",-1.674,1.816,2.42,0.962,0.895,0.8,0,0.44,0.56,"sublimation"
2022-03-20,"test_LW_in_eq_vf_4pir",-0.253,0.253,0.308,0.18,0.995,0.99,0,0.18,0.84,"sublimation"
2022-03-24,"test_LW_in_eq_vf_4pir",0.092,0.572,0.723,0.26,0.985,0.97,0.07,0.14,0.78,"sublimation"
2022-03-29,"test_LW_in_eq_vf_4pir",-0.469,0.539,0.728,0.438,0.942,0.887,0.49,0.04,0.46,"mixed"
2022-04-21,"test_LW_in_eq_vf_4pir",-0.165,0.278,0.364,0.13,0.987,0.974,0.55,0.07,0.38,"mixed"
2022-04-23,"test_LW_in_eq_vf_4pir",-0.357,0.631,0.878,0.293,0.979,0.959,0.71,0.03,0.26,"mixed"
2022-06-14,"test_LW_in_eq_vf_4pir",1.058,1.646,1.965,0.281,0.993,0.985,1.02,0.01,0,"melt"
2022-06-23,"test_LW_in_eq_vf_4pir",0.175,0.177,0.231,0.184,0.994,0.988,0.85,0.04,0.15,"melt"
2022-06-24,"test_LW_in_eq_vf_4pir",0.879,0.879,0.984,0.256,0.992,0.983,1,0.01,0.03,"melt"
2022-12-01,"test_LW_in_eq_vf_4pir",-0.37,1.522,1.868,0.169,0.979,0.958,0,0.74,0.26,"wind"
2023-01-28,"test_LW_in_eq_vf_4pir",2.37,2.37,2.626,0.417,0.951,0.904,0,0.72,0.28,"wind"
2023-02-24,"test_LW_in_eq_vf_4pir",-4.08,4.772,6.496,0.543,0.928,0.862,0,0.85,0.15,"wind"
2023-02-26,"test_LW_in_eq_vf_4pir",0.212,0.254,0.327,0.056,0.92,0.846,0,0.53,0.5,"mixed"
2023-03-14,"test_LW_in_eq_vf_4pir",1.92,1.927,2.222,0.342,0.979,0.959,0,0.3,0.71,"sublimation"
2023-03-25,"test_LW_in_eq_vf_4pir",-1.979,1.979,2.487,0.156,0.963,0.928,0,0.26,0.74,"sublimation"
2023-03-26,"test_LW_in_eq_vf_4pir",-3.57,3.57,4.457,0.373,0.928,0.862,0,0.27,0.74,"sublimation"
2023-03-28,"test_LW_in_eq_vf_4pir",-2.269,2.269,2.743,0.199,0.993,0.986,0,0.19,0.81,"sublimation"
2023-04-13,"test_LW_in_eq_vf_4pir",-1.327,1.327,1.483,0.11,0.955,0.913,0,0.2,0.8,"sublimation"
2023-04-17,"test_LW_in_eq_vf_4pir",-1.924,1.924,2.007,1.142,0.906,0.821,0,0.31,0.7,"sublimation"
2023-05-08,"test_LW_in_eq_vf_4pir",0.348,0.428,0.553,0.163,0.988,0.977,1,0.02,0.01,"melt"
2023-06-15,"test_LW_in_eq_vf_4pir",-0.135,0.487,0.604,0.107,0.99,0.981,0.95,0.04,0.02,"melt"
2023-06-21,"test_LW_in_eq_vf_4pir",-0.355,0.5,0.714,0.142,0.986,0.972,0.91,0.07,0.03,"melt"
