"event_id","runtag","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation","event_type"
2022-02-04,"new_event_set",-0.452,0.956,1.238,0.256,0.95,0.903,0,0.63,0.37,"wind"
2022-03-02,"new_event_set",0.288,0.3,0.388,0.075,0.993,0.986,0.16,0.27,0.58,"mixed"
2022-03-09,"new_event_set",-1.583,1.738,2.337,0.93,0.898,0.807,0,0.43,0.58,"mixed"
2022-03-20,"new_event_set",-0.175,0.183,0.237,0.138,0.996,0.992,0,0.16,0.85,"sublimation"
2022-03-24,"new_event_set",0.195,0.58,0.718,0.259,0.984,0.969,0.06,0.14,0.8,"mixed"
2022-03-29,"new_event_set",-0.435,0.51,0.688,0.414,0.946,0.896,0.47,0.04,0.49,"mixed"
2022-04-21,"new_event_set",-0.122,0.26,0.329,0.117,0.989,0.977,0.53,0.07,0.4,"mixed"
2022-04-23,"new_event_set",-0.319,0.606,0.84,0.28,0.981,0.961,0.7,0.03,0.28,"mixed"
2022-06-14,"new_event_set",1.106,1.626,1.957,0.28,0.993,0.985,1.01,0.01,0.01,"melt"
2022-06-23,"new_event_set",0.187,0.187,0.244,0.193,0.994,0.987,0.85,0.04,0.16,"melt"
2022-06-24,"new_event_set",0.902,0.902,1.01,0.263,0.991,0.982,0.99,0.01,0.04,"melt"
2022-12-01,"new_event_set",-0.049,1.449,1.757,0.159,0.981,0.962,0,0.71,0.29,"wind"
2023-01-28,"new_event_set",2.517,2.517,2.778,0.441,0.946,0.895,0,0.68,0.32,"wind"
2023-02-24,"new_event_set",-4.007,4.714,6.418,0.537,0.93,0.865,0,0.84,0.17,"wind"
2023-02-26,"new_event_set",0.271,0.3,0.389,0.067,0.918,0.843,0,0.49,0.53,"mixed"
2023-03-14,"new_event_set",2.16,2.162,2.491,0.384,0.974,0.948,0,0.28,0.72,"mixed"
2023-03-25,"new_event_set",-1.799,1.799,2.283,0.143,0.969,0.939,0,0.24,0.77,"mixed"
2023-03-26,"new_event_set",-3.32,3.32,4.188,0.35,0.932,0.868,0,0.24,0.76,"mixed"
2023-03-28,"new_event_set",-2.082,2.082,2.527,0.183,0.994,0.987,0,0.18,0.83,"sublimation"
2023-04-13,"new_event_set",-1.095,1.097,1.27,0.094,0.957,0.917,0,0.18,0.82,"sublimation"
2023-04-17,"new_event_set",-1.862,1.862,1.948,1.108,0.909,0.826,0,0.3,0.71,"mixed"
2023-05-08,"new_event_set",0.386,0.442,0.571,0.169,0.989,0.978,0.99,0.02,0.02,"melt"
2023-06-15,"new_event_set",-0.089,0.478,0.585,0.103,0.991,0.981,0.93,0.04,0.04,"melt"
2023-06-21,"new_event_set",-0.294,0.492,0.676,0.134,0.987,0.973,0.88,0.07,0.05,"melt"
