"","name","event_id","MB","MAE","RMSE","NRMSE","R","R2"
"1","andreadis2009",2022-03-02,0.047,0.067,0.077,0.379,0.9,0.81
"2","crhm_updated",2022-03-02,-0.002,0.086,0.106,0.522,0.831,0.69
"3","roesch2001",2022-03-02,-0.07,0.093,0.122,0.603,0.859,0.738
"4","crhm_baseline",2022-03-02,-0.11,0.176,0.281,1.389,0.344,0.118
"5","crhm_updated",2022-03-09,0.47,0.619,0.879,1.026,0.713,0.509
"6","roesch2001",2022-03-09,0.451,0.644,0.918,1.071,0.721,0.52
"7","crhm_baseline",2022-03-09,0.69,0.731,1.092,1.275,0.743,0.552
"8","andreadis2009",2022-03-09,0.706,0.739,1.101,1.285,0.741,0.549
"9","crhm_updated",2022-03-20,0.002,0.065,0.08,0.456,0.842,0.709
"10","crhm_baseline",2022-03-20,0.02,0.062,0.094,0.539,0.829,0.688
"11","roesch2001",2022-03-20,0.007,0.068,0.094,0.537,0.774,0.598
"12","andreadis2009",2022-03-20,0.021,0.065,0.095,0.543,0.823,0.678
"13","roesch2001",2022-03-24,0.001,0.1,0.136,0.686,0.816,0.667
"14","crhm_updated",2022-03-24,0,0.091,0.137,0.688,0.8,0.64
"15","andreadis2009",2022-03-24,0.001,0.1,0.157,0.79,0.695,0.484
"16","crhm_baseline",2022-03-24,0.001,0.104,0.171,0.862,0.78,0.609
"17","crhm_baseline",2022-03-29,-0.011,0.063,0.077,0.197,0.954,0.911
"18","roesch2001",2022-03-29,-0.009,0.19,0.231,0.594,0.468,0.219
"19","andreadis2009",2022-03-29,0.019,0.287,0.332,0.854,-0.192,0.037
"20","crhm_updated",2022-03-29,-0.016,0.317,0.436,1.123,0.513,0.263
"21","crhm_baseline",2022-04-21,0.012,0.15,0.216,0.412,0.857,0.735
"22","roesch2001",2022-04-21,0.015,0.217,0.246,0.47,0.913,0.833
"23","crhm_updated",2022-04-21,-0.03,0.253,0.301,0.575,0.891,0.794
"24","andreadis2009",2022-04-21,0.124,0.294,0.373,0.713,0.511,0.261
"25","roesch2001",2022-04-23,0.009,0.308,0.467,0.619,0.726,0.527
"26","crhm_baseline",2022-04-23,0.01,0.325,0.49,0.65,0.681,0.464
"27","crhm_updated",2022-04-23,-0.001,0.506,0.661,0.876,0.855,0.73
"28","andreadis2009",2022-04-23,0.085,0.545,0.712,0.943,0.116,0.013
"29","crhm_updated",2022-06-14,-0.091,0.616,0.98,0.895,0.837,0.701
"30","roesch2001",2022-06-14,-0.061,0.744,1.12,1.022,0.764,0.584
