"","name","event_id","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"1","simulated_new",2022-03-02,0.052,0.088,0.103,0.509,0.771,0.594,0,0.38,0.63
"2","andreadis2009",2022-03-02,0.096,0.108,0.122,0.602,0.817,0.668,0,0.38,0.63
"3","roesch2001",2022-03-02,-0.07,0.093,0.122,0.603,0.859,0.738,0,0.38,0.63
"4","ellis2010",2022-03-02,-0.11,0.176,0.281,1.389,0.344,0.118,0,0.38,0.63
"5","roesch2001",2022-03-09,0.451,0.644,0.918,1.071,0.721,0.52,0,0.42,0.58
"6","simulated_new",2022-03-09,0.558,0.7,0.97,1.132,0.603,0.363,0,0.42,0.58
"7","ellis2010",2022-03-09,0.69,0.731,1.092,1.275,0.743,0.552,0,0.42,0.58
"8","andreadis2009",2022-03-09,0.72,0.761,1.114,1.301,0.692,0.478,0,0.42,0.58
"9","simulated_new",2022-03-20,0.004,0.068,0.089,0.51,0.795,0.632,0,0.14,0.87
"10","ellis2010",2022-03-20,0.02,0.062,0.094,0.539,0.829,0.688,0,0.14,0.87
"11","roesch2001",2022-03-20,0.007,0.068,0.094,0.537,0.774,0.598,0,0.14,0.87
"12","andreadis2009",2022-03-20,0.007,0.082,0.104,0.595,0.703,0.495,0,0.14,0.87
"13","roesch2001",2022-03-24,0.001,0.1,0.136,0.686,0.816,0.667,0.05,0.2,0.76
"14","ellis2010",2022-03-24,0.001,0.104,0.171,0.862,0.78,0.609,0.05,0.2,0.76
"15","simulated_new",2022-03-24,0,0.133,0.211,1.058,0.465,0.216,0.05,0.2,0.76
"16","andreadis2009",2022-03-24,0,0.144,0.221,1.11,0.33,0.109,0.05,0.2,0.76
"17","ellis2010",2022-03-29,-0.011,0.063,0.077,0.197,0.954,0.911,0.52,0.03,0.45
"18","roesch2001",2022-03-29,-0.009,0.19,0.231,0.594,0.468,0.219,0.52,0.03,0.45
"19","simulated_new",2022-03-29,-0.016,0.385,0.542,1.395,0.092,0.008,0.52,0.03,0.45
"20","andreadis2009",2022-03-29,-0.016,0.4,0.555,1.429,0.058,0.003,0.52,0.03,0.45
"21","ellis2010",2022-04-21,0.012,0.15,0.216,0.412,0.857,0.735,0.5,0.07,0.43
"22","roesch2001",2022-04-21,0.015,0.217,0.246,0.47,0.913,0.833,0.5,0.07,0.43
"23","simulated_new",2022-04-21,-0.02,0.283,0.375,0.716,0.509,0.259,0.5,0.07,0.43
"24","andreadis2009",2022-04-21,0.029,0.319,0.409,0.781,0.417,0.174,0.5,0.07,0.43
"25","roesch2001",2022-04-23,0.009,0.308,0.467,0.619,0.726,0.527,0.85,0.01,0.13
"26","ellis2010",2022-04-23,0.01,0.325,0.49,0.65,0.681,0.464,0.85,0.01,0.13
"27","simulated_new",2022-04-23,-0.001,0.528,0.643,0.852,0.732,0.536,0.85,0.01,0.13
"28","andreadis2009",2022-04-23,-0.001,0.599,0.708,0.939,0.636,0.404,0.85,0.01,0.13
"29","simulated_new",2022-06-14,-0.06,0.567,0.87,0.794,0.871,0.758,1.01,0,0
"30","roesch2001",2022-06-14,-0.061,0.744,1.12,1.022,0.764,0.584,1.01,0,0
"31","ellis2010",2022-06-14,0.023,0.689,1.223,1.116,0.7,0.491,1.01,0,0
"32","andreadis2009",2022-06-14,-0.107,1.228,1.938,1.769,0.303,0.092,1.01,0,0
"33","andreadis2009",2022-06-24,0.03,0.601,0.817,0.574,0.818,0.67,1,0,0
"34","roesch2001",2022-06-24,0.266,0.691,0.88,0.618,0.788,0.621,1,0,0
"35","simulated_new",2022-06-24,0.072,0.722,0.937,0.658,0.762,0.58,1,0,0
"36","ellis2010",2022-06-24,0.454,0.709,1.014,0.712,0.76,0.577,1,0,0
"37","simulated_new",2022-12-01,0.027,0.399,0.772,2.069,0.315,0.099,0,0.76,0.24
"38","roesch2001",2022-12-01,0.073,0.409,0.803,2.15,0.211,0.044,0,0.76,0.24
"39","ellis2010",2022-12-01,0.129,0.406,0.862,2.308,-0.07,0.005,0,0.76,0.24
"40","andreadis2009",2022-12-01,0.276,0.359,0.886,2.372,-0.117,0.014,0,0.76,0.24
"41","roesch2001",2023-02-24,0.75,1.484,2.179,1.274,-0.536,0.287,0,0.87,0.14
"42","simulated_new",2023-02-24,0.88,1.623,2.328,1.361,-0.287,0.082,0,0.87,0.14
"43","ellis2010",2023-02-24,1.57,1.62,2.603,1.522,-0.586,0.344,0,0.87,0.14
"44","andreadis2009",2023-02-24,1.674,1.683,2.664,1.557,-0.678,0.46,0,0.87,0.14
"45","ellis2010",2023-02-26,0.007,0.078,0.085,0.687,0.938,0.879,0,0.62,0.41
"46","simulated_new",2023-02-26,-0.029,0.087,0.092,0.737,0.962,0.926,0,0.62,0.41
"47","andreadis2009",2023-02-26,0.061,0.082,0.115,0.922,0.973,0.946,0,0.62,0.41
"48","roesch2001",2023-02-26,-0.196,0.196,0.205,1.647,0.937,0.878,0,0.62,0.41
"49","simulated_new",2023-03-14,0.006,0.13,0.247,1.291,0.608,0.37,0,0.37,0.63
"50","ellis2010",2023-03-14,0.008,0.137,0.256,1.336,0.563,0.317,0,0.37,0.63
"51","andreadis2009",2023-03-14,0.011,0.155,0.295,1.539,0.334,0.111,0,0.37,0.63
"52","roesch2001",2023-03-14,0.008,0.188,0.306,1.599,0.443,0.196,0,0.37,0.63
"53","roesch2001",2023-04-17,-0.132,0.217,0.24,0.667,0.693,0.48,0,0.29,0.73
"54","simulated_new",2023-04-17,-0.149,0.233,0.278,0.772,0.523,0.273,0,0.29,0.73
"55","andreadis2009",2023-04-17,-0.058,0.287,0.339,0.941,-0.034,0.001,0,0.29,0.73
"56","ellis2010",2023-04-17,-0.122,0.356,0.488,1.357,-0.129,0.017,0,0.29,0.73
"57","andreadis2009",2023-05-08,-0.072,0.421,0.534,0.468,0.927,0.86,1,0.01,-0.01
"58","simulated_new",2023-05-08,-0.044,0.453,0.603,0.528,0.919,0.844,1,0.01,-0.01
"59","ellis2010",2023-05-08,0.274,0.583,0.895,0.784,0.849,0.721,1,0.01,-0.01
"60","roesch2001",2023-05-08,0.23,0.654,0.914,0.8,0.873,0.763,1,0.01,-0.01
"61","andreadis2009",2023-06-15,-0.171,0.397,0.494,0.261,0.952,0.905,0.99,0.03,-0.01
"62","simulated_new",2023-06-15,-0.171,0.877,0.972,0.515,0.775,0.6,0.99,0.03,-0.01
"63","roesch2001",2023-06-15,0.437,1.104,1.341,0.71,0.626,0.392,0.99,0.03,-0.01
"64","ellis2010",2023-06-15,0.669,1.317,1.541,0.816,0.198,0.039,0.99,0.03,-0.01
"65","andreadis2009",2023-06-21,-0.063,0.75,0.945,0.554,0.705,0.496,0.95,0.05,0.01
"66","simulated_new",2023-06-21,0.001,0.847,0.995,0.583,0.673,0.452,0.95,0.05,0.01
"67","roesch2001",2023-06-21,0.811,0.987,1.495,0.876,0.42,0.176,0.95,0.05,0.01
"68","ellis2010",2023-06-21,1.049,1.101,1.656,0.97,0.28,0.078,0.95,0.05,0.01
