"","name","event_id","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"1","andreadis2009",2022-03-02,0.047,0.067,0.077,0.379,0.9,0.81,0,0.42,0.59
"2","simulated_new",2022-03-02,0.005,0.086,0.101,0.497,0.826,0.682,0,0.42,0.59
"3","roesch2001",2022-03-02,-0.07,0.093,0.122,0.603,0.859,0.738,0,0.42,0.59
"4","ellis2010",2022-03-02,-0.11,0.176,0.281,1.389,0.344,0.118,0,0.42,0.59
"5","simulated_new",2022-03-09,0.376,0.533,0.821,0.959,0.747,0.558,0,0.42,0.59
"6","roesch2001",2022-03-09,0.451,0.644,0.918,1.071,0.721,0.52,0,0.42,0.59
"7","ellis2010",2022-03-09,0.69,0.731,1.092,1.275,0.743,0.552,0,0.42,0.59
"8","andreadis2009",2022-03-09,0.706,0.739,1.101,1.285,0.741,0.549,0,0.42,0.59
"9","simulated_new",2022-03-20,0.005,0.067,0.089,0.511,0.787,0.619,0,0.16,0.85
"10","ellis2010",2022-03-20,0.02,0.062,0.094,0.539,0.829,0.688,0,0.16,0.85
"11","roesch2001",2022-03-20,0.007,0.068,0.094,0.537,0.774,0.598,0,0.16,0.85
"12","andreadis2009",2022-03-20,0.021,0.065,0.095,0.543,0.823,0.678,0,0.16,0.85
"13","roesch2001",2022-03-24,0.001,0.1,0.136,0.686,0.816,0.667,0.04,0.22,0.74
"14","andreadis2009",2022-03-24,0.001,0.1,0.157,0.79,0.695,0.484,0.04,0.22,0.74
"15","ellis2010",2022-03-24,0.001,0.104,0.171,0.862,0.78,0.609,0.04,0.22,0.74
"16","simulated_new",2022-03-24,0,0.104,0.198,0.997,0.796,0.633,0.04,0.22,0.74
"17","ellis2010",2022-03-29,-0.011,0.063,0.077,0.197,0.954,0.911,0.55,0.04,0.41
"18","roesch2001",2022-03-29,-0.009,0.19,0.231,0.594,0.468,0.219,0.55,0.04,0.41
"19","andreadis2009",2022-03-29,0.019,0.287,0.332,0.854,-0.192,0.037,0.55,0.04,0.41
"20","simulated_new",2022-03-29,-0.016,0.376,0.521,1.342,0.126,0.016,0.55,0.04,0.41
"21","ellis2010",2022-04-21,0.012,0.15,0.216,0.412,0.857,0.735,0.56,0.08,0.37
"22","roesch2001",2022-04-21,0.015,0.217,0.246,0.47,0.913,0.833,0.56,0.08,0.37
"23","simulated_new",2022-04-21,-0.03,0.221,0.288,0.55,0.713,0.508,0.56,0.08,0.37
"24","andreadis2009",2022-04-21,0.124,0.294,0.373,0.713,0.511,0.261,0.56,0.08,0.37
"25","simulated_new",2022-04-23,-0.001,0.327,0.455,0.603,0.837,0.701,0.87,0.02,0.11
"26","roesch2001",2022-04-23,0.009,0.308,0.467,0.619,0.726,0.527,0.87,0.02,0.11
"27","ellis2010",2022-04-23,0.01,0.325,0.49,0.65,0.681,0.464,0.87,0.02,0.11
"28","andreadis2009",2022-04-23,0.085,0.545,0.712,0.943,0.116,0.013,0.87,0.02,0.11
"29","simulated_new",2022-06-14,-0.063,0.611,0.971,0.886,0.833,0.693,1.01,0.01,0
"30","roesch2001",2022-06-14,-0.061,0.744,1.12,1.022,0.764,0.584,1.01,0.01,0
"31","ellis2010",2022-06-14,0.023,0.689,1.223,1.116,0.7,0.491,1.01,0.01,0
"32","andreadis2009",2022-06-14,-0.117,1.227,1.642,1.499,0.327,0.107,1.01,0.01,0
"33","simulated_new",2022-06-24,0.038,0.556,0.666,0.468,0.879,0.773,1.01,0,0
"34","roesch2001",2022-06-24,0.266,0.691,0.88,0.618,0.788,0.621,1.01,0,0
"35","ellis2010",2022-06-24,0.454,0.709,1.014,0.712,0.76,0.577,1.01,0,0
"36","andreadis2009",2022-06-24,0.599,0.955,1.229,0.863,0.327,0.107,1.01,0,0
"37","simulated_new",2022-12-01,0.045,0.376,0.775,2.076,0.317,0.1,0,0.77,0.23
"38","roesch2001",2022-12-01,0.073,0.409,0.803,2.15,0.211,0.044,0,0.77,0.23
"39","ellis2010",2022-12-01,0.129,0.406,0.862,2.308,-0.07,0.005,0,0.77,0.23
"40","andreadis2009",2022-12-01,0.151,0.411,0.877,2.349,-0.084,0.007,0,0.77,0.23
"41","simulated_new",2023-02-24,0.452,1.37,1.919,1.122,0.321,0.103,0,0.87,0.13
"42","roesch2001",2023-02-24,0.75,1.484,2.179,1.274,-0.536,0.287,0,0.87,0.13
"43","ellis2010",2023-02-24,1.57,1.62,2.603,1.522,-0.586,0.344,0,0.87,0.13
"44","andreadis2009",2023-02-24,1.611,1.648,2.629,1.537,-0.581,0.337,0,0.87,0.13
