"","name","event_id","MB","MAE","RMSE","NRMSE","R","R2","melt","wind","sublimation"
"1","andreadis2009",2022-03-02,0.047,0.067,0.077,0.379,0.9,0.81,0.01,0.41,0.6
"2","simulated_new",2022-03-02,0.051,0.082,0.098,0.484,0.789,0.622,0.01,0.41,0.6
"3","roesch2001",2022-03-02,-0.07,0.093,0.122,0.603,0.859,0.738,0.01,0.41,0.6
"4","ellis2010",2022-03-02,-0.11,0.176,0.281,1.389,0.344,0.118,0.01,0.41,0.6
"5","roesch2001",2022-03-09,0.451,0.644,0.918,1.071,0.721,0.52,0,0.41,0.59
"6","simulated_new",2022-03-09,0.568,0.702,0.985,1.15,0.612,0.374,0,0.41,0.59
"7","ellis2010",2022-03-09,0.69,0.731,1.092,1.275,0.743,0.552,0,0.41,0.59
"8","andreadis2009",2022-03-09,0.706,0.739,1.101,1.285,0.741,0.549,0,0.41,0.59
"9","simulated_new",2022-03-20,0.005,0.069,0.091,0.519,0.782,0.611,0,0.16,0.85
"10","ellis2010",2022-03-20,0.02,0.062,0.094,0.539,0.829,0.688,0,0.16,0.85
"11","roesch2001",2022-03-20,0.007,0.068,0.094,0.537,0.774,0.598,0,0.16,0.85
"12","andreadis2009",2022-03-20,0.021,0.065,0.095,0.543,0.823,0.678,0,0.16,0.85
"13","roesch2001",2022-03-24,0.001,0.1,0.136,0.686,0.816,0.667,0.07,0.21,0.72
"14","andreadis2009",2022-03-24,0.001,0.1,0.157,0.79,0.695,0.484,0.07,0.21,0.72
"15","ellis2010",2022-03-24,0.001,0.104,0.171,0.862,0.78,0.609,0.07,0.21,0.72
"16","simulated_new",2022-03-24,0,0.124,0.206,1.037,0.486,0.236,0.07,0.21,0.72
"17","ellis2010",2022-03-29,-0.011,0.063,0.077,0.197,0.954,0.911,0.58,0.04,0.38
"18","roesch2001",2022-03-29,-0.009,0.19,0.231,0.594,0.468,0.219,0.58,0.04,0.38
"19","andreadis2009",2022-03-29,0.019,0.287,0.332,0.854,-0.192,0.037,0.58,0.04,0.38
"20","simulated_new",2022-03-29,-0.016,0.374,0.5,1.287,0.301,0.091,0.58,0.04,0.38
"21","ellis2010",2022-04-21,0.012,0.15,0.216,0.412,0.857,0.735,0.6,0.07,0.34
"22","roesch2001",2022-04-21,0.015,0.217,0.246,0.47,0.913,0.833,0.6,0.07,0.34
"23","simulated_new",2022-04-21,-0.03,0.276,0.32,0.61,0.758,0.575,0.6,0.07,0.34
"24","andreadis2009",2022-04-21,0.124,0.294,0.373,0.713,0.511,0.261,0.6,0.07,0.34
"25","roesch2001",2022-04-23,0.009,0.308,0.467,0.619,0.726,0.527,0.88,0.02,0.1
"26","ellis2010",2022-04-23,0.01,0.325,0.49,0.65,0.681,0.464,0.88,0.02,0.1
"27","andreadis2009",2022-04-23,0.085,0.545,0.712,0.943,0.116,0.013,0.88,0.02,0.1
"28","simulated_new",2022-04-23,-0.001,0.538,0.736,0.975,0.769,0.591,0.88,0.02,0.1
"29","simulated_new",2022-06-14,-0.091,0.609,0.989,0.903,0.838,0.702,1,0.01,0
"30","roesch2001",2022-06-14,-0.061,0.744,1.12,1.022,0.764,0.584,1,0.01,0
"31","ellis2010",2022-06-14,0.023,0.689,1.223,1.116,0.7,0.491,1,0.01,0
"32","andreadis2009",2022-06-14,-0.117,1.227,1.642,1.499,0.327,0.107,1,0.01,0
"33","roesch2001",2022-06-24,0.266,0.691,0.88,0.618,0.788,0.621,1.01,0,0
"34","simulated_new",2022-06-24,0.019,0.72,0.913,0.641,0.812,0.659,1.01,0,0
"35","ellis2010",2022-06-24,0.454,0.709,1.014,0.712,0.76,0.577,1.01,0,0
"36","andreadis2009",2022-06-24,0.599,0.955,1.229,0.863,0.327,0.107,1.01,0,0
"37","simulated_new",2022-12-01,0.038,0.396,0.779,2.087,0.291,0.085,0,0.77,0.23
"38","roesch2001",2022-12-01,0.073,0.409,0.803,2.15,0.211,0.044,0,0.77,0.23
"39","ellis2010",2022-12-01,0.129,0.406,0.862,2.308,-0.07,0.005,0,0.77,0.23
"40","andreadis2009",2022-12-01,0.151,0.411,0.877,2.349,-0.084,0.007,0,0.77,0.23
"41","roesch2001",2023-02-24,0.75,1.484,2.179,1.274,-0.536,0.287,0,0.87,0.14
"42","simulated_new",2023-02-24,0.927,1.648,2.372,1.387,-0.321,0.103,0,0.87,0.14
"43","ellis2010",2023-02-24,1.57,1.62,2.603,1.522,-0.586,0.344,0,0.87,0.14
"44","andreadis2009",2023-02-24,1.611,1.648,2.629,1.537,-0.581,0.337,0,0.87,0.14
"45","ellis2010",2023-02-26,0.007,0.078,0.085,0.687,0.938,0.879,0,0.66,0.37
"46","andreadis2009",2023-02-26,0.02,0.076,0.088,0.708,0.938,0.88,0,0.66,0.37
"47","simulated_new",2023-02-26,-0.025,0.09,0.094,0.758,0.969,0.938,0,0.66,0.37
"48","roesch2001",2023-02-26,-0.196,0.196,0.205,1.647,0.937,0.878,0,0.66,0.37
"49","simulated_new",2023-03-14,0.007,0.129,0.248,1.297,0.607,0.369,0,0.41,0.59
"50","andreadis2009",2023-03-14,0.008,0.131,0.251,1.31,0.597,0.357,0,0.41,0.59
"51","ellis2010",2023-03-14,0.008,0.137,0.256,1.336,0.563,0.317,0,0.41,0.59
"52","roesch2001",2023-03-14,0.008,0.188,0.306,1.599,0.443,0.196,0,0.41,0.59
"53","andreadis2009",2023-04-13,0.132,0.303,0.494,0.902,0.358,0.128,0.05,0.34,0.61
"54","roesch2001",2023-04-13,-0.242,0.41,0.503,0.918,0.582,0.339,0.05,0.34,0.61
"55","simulated_new",2023-04-13,0.268,0.287,0.517,0.944,0.491,0.241,0.05,0.34,0.61
"56","ellis2010",2023-04-13,-0.616,0.749,0.989,1.806,0.656,0.431,0.05,0.34,0.61
"57","roesch2001",2023-04-17,-0.132,0.217,0.24,0.667,0.693,0.48,0,0.28,0.73
"58","simulated_new",2023-04-17,-0.126,0.231,0.275,0.763,0.471,0.222,0,0.28,0.73
"59","andreadis2009",2023-04-17,-0.036,0.279,0.336,0.934,-0.073,0.005,0,0.28,0.73
"60","ellis2010",2023-04-17,-0.122,0.356,0.488,1.357,-0.129,0.017,0,0.28,0.73
"61","simulated_new",2023-05-08,-0.086,0.434,0.483,0.423,0.979,0.958,1.01,0.01,-0.01
"62","ellis2010",2023-05-08,0.274,0.583,0.895,0.784,0.849,0.721,1.01,0.01,-0.01
"63","roesch2001",2023-05-08,0.23,0.654,0.914,0.8,0.873,0.763,1.01,0.01,-0.01
"64","andreadis2009",2023-05-08,0.584,0.902,1.28,1.121,-0.433,0.188,1.01,0.01,-0.01
"65","simulated_new",2023-06-15,-0.171,0.638,0.709,0.376,0.9,0.81,0.99,0.03,-0.01
"66","roesch2001",2023-06-15,0.437,1.104,1.341,0.71,0.626,0.392,0.99,0.03,-0.01
"67","ellis2010",2023-06-15,0.669,1.317,1.541,0.816,0.198,0.039,0.99,0.03,-0.01
"68","andreadis2009",2023-06-15,0.949,1.384,1.762,0.933,0.087,0.008,0.99,0.03,-0.01
"69","simulated_new",2023-06-21,-0.011,0.931,1.087,0.637,0.649,0.422,0.95,0.05,0.01
"70","roesch2001",2023-06-21,0.811,0.987,1.495,0.876,0.42,0.176,0.95,0.05,0.01
"71","ellis2010",2023-06-21,1.049,1.101,1.656,0.97,0.28,0.078,0.95,0.05,0.01
"72","andreadis2009",2023-06-21,1.113,1.27,1.737,1.018,0.027,0.001,0.95,0.05,0.01
